hotel_name,reviewer,helpful_votes,date,text,month,year,extracted_date_str,extracted_date,year_int,sentiment_score
Jupiter Albufeira Hotel - Family & Fun,Kintore Quine,1,Kintore Quinewrote a review Oct 2019,"We paid the 4/5 star (depending on site you use) all inclusive price for this hotel with great expectations. We were badly let down on a number of accounts:The first room we had was lovely apart from the fact that it overlooked the massive hotel airconditioning system which rattled away all night - not my idea of a great view. If you decide to go, don't let the hotel put you anywhere near room 126. They did however move us when we complained.The food: thought I was playing safe by booking a good hotel with food included as I was concerned when I booked about Brexit and what would happened to £/Euro - little did we know nothing would change . As it happens, the food was so bad (not even coming close to 3 star) we had to eat out a lot of the time or ended up avoiding the main dinning room and opting for pizza (which was OK but nowhere near expectations). Can really recommend the Market Restaurant in Albufeira (a 15 - 20 minute walk from hotel).Social spaces - avoided the evening entertainment as this was not in a bar area but rather in the dining room in rows of uncomfortable chairs. There was nowhere comfortable to sit outside on the ground floor so seemed like a very anti-social hotel. You could brave the rather gloomy rooftop bar but in late September 10 floors up, be prepared for high winds and the requirement to wrap up warm.Hadn't been to Portugal before and hotel and Albufeira were a great disappointment. If you want somewhere nice, would recommend Lagos (a bit of a journey but worth it), or Tavira.The indoor pool - be prepared to pay c. £13 each time you use it.Overall, feel like we ended up doubling our spend outside of the hotel to make up for its shortcomings.",Oct,2019,Oct 2019,2019-10-01,2019,3
Vila Gale Nep Kids,Nuno Oliveira,0,Nuno Oliveirawrote a review Aug 2024,"We went back to Nep Kids because we loved the first visit on Easter. We met Aunt Joana Banana and Uncle Zeca who recognized us and it was a party. They even invited my daughter to be a jury at Voice Kids. The rest of the animator team was also fantastic. Once again, we loved the stay.",Aug,2024,Aug 2024,2024-08-01,2024,5
Jupiter Albufeira Hotel - Family & Fun,Alfreda102013,47,Alfreda102013wrote a review May 2025,"Beautiful room very clean but transformed into nursery and luxury kindergartenBut if you don’t have children go your wayIt’s paradise for children up to 6 years old, you will only meet strollersAt the evening dinner howling they are tired",May,2025,May 2025,2025-05-01,2025,4
Belmar Spa & Beach Resort,rob,82,robwrote a review Mar 2014,The hotel is beautiful and the rooms are large and well equipped.  Staff is very friendly.  Spa looks great but was closed in the winter while we were there.  Walking distance to the beach but you need to drive to get to the city center if u want to go out at night or shop,Mar,2014,Mar 2014,2014-03-01,2014,4
Jupiter Albufeira Hotel - Family & Fun,vincent V,1,vincent Vwrote a review Apr 2024,"The hotel is very good, very clean. The restaurant offers varied menus and there is something for everyone. The room is very spacious and has everything you need!The big downside of this hotel lies in its clientele, very (too) Anglo-Saxon who respect nothing and no one. They push you around without even apologizing, pass you by at the buffet without queuing, in short, anything goes for these customers...The hotel does not make much effort for other guests, all the staff speak English. For the others, you will come back.I'm taking one star off for this point. It's a hotel for English people. If you are not bilingual, move on, even the animations are in English.",Apr,2024,Apr 2024,2024-04-01,2024,4
Villas Barrocal,Laurenlee2012,9,Laurenlee2012wrote a review Oct 2016,"We stayed here for a week and we had an amazing time. We arrived around 1am to find our keys and a map had been left in a safe place for us so no fuss checking, we were able to get our keys and head straight to our apartment, fantastic service. The two bedroom apartments are nice and big suitable for a family of four. The apartment was very clean and a mix of modern and traditional. The only down side inside is the beds are not very comfortable I have a bad back and did not find them comfy ( only reason this is not a 5 star review) you can see the springs through the sheets, the apartment next door was getting a refurb while we were here including new beds so maybe they will all be getting upgraded?. The pool area is great for kids and adults with two pools which again were kept to a very high standard. The pool bar serves great food and offers a take away service all very reasonably priced. We will 100% return",Oct,2016,Oct 2016,2016-10-01,2016,4
Tivoli Carvoeiro Algarve Resort,Vickie❤,32,Vickie❤wrote a review Aug 2023,"We stayed here for the second time for a week in July and had a wonderful time!In fact we didn't want to go home.The hotel is beautiful and very clean and well thought out. Pool fantastic, amazing breakfast. The only reason we give it a 4 is because the first room we were allocated didn't meet our expectations as it was a solid balcony with no views  unlike the other rooms that have glass balconies over looking the amazing views. However, we were able to move rooms without a problem which really made the holiday.Staff are wonderful and incredibly helpful.Free shuttle into Carveiro centre which is only a 10 minute walk away anyway.We would return to this hotel time and again. Its one of our firm favourites.",Aug,2023,Aug 2023,2023-08-01,2023,4
Tivoli Carvoeiro Algarve Resort,Fiona M,0,Fiona Mwrote a review Sep 2025,"We stayed for just shy of a week and had an incredible time! The room, service, and amenities exceeded expectations and we would definitely come back again.Beautiful pool and location, close to plenty of great restaurants, and stunning detailsHighlights were, drinks at the Skybar, the pool, complimentary breakfast with stunning views, and the luxe room.",Sep,2025,Sep 2025,2025-09-01,2025,5
Dona Filipa Hotel Vale Do Lobo,Roger W,47,Roger Wwrote a review Aug 2015,Rooms very old and poorly appointed. View from balcony mainly aircon units ! No shower only very small tub with shower fitting. TV didn't work . On complaining to manager I got absolutely no sensible response.Won't be back!,Aug,2015,Aug 2015,2015-08-01,2015,1
Dona Filipa Hotel Vale Do Lobo,TeamLorm,1,TeamLormwrote a review Jul 2024,"We've stayed here as a family 3 times now, and we all love it. We'll be heading back again.There's 4 of us so we get two adjoinining rooms. It is hard to book adjoining rooms on the website, we have to email them afterwards to ask, but it's never been a problem to sort it. The rooms are beautiful and spacious, although being critical you might say maybe a little tired in places given that it's a 5-star hotel. But the little touches like the bottled water every day make a real difference. When it's super hot in the middle of the day, we sometimes go back to the rooms to give the kids some shade - we do activities there, maybe sit on the balcony and watch the passing golfers.One criticism is that the air conditioning in the rooms is inconsistent. On several occasions we've had it where one room gets cool very easily, but the air con in the other room barely works. I'd be wary about going in the height of summer.I would say that we tend to stay in the nicer rooms, and having seen some of the more basic rooms I think we'd be significantly less comfortable in those - you probably wouldn't feel like you're in a 5-star hotel in those.The staff are attentive and our cleaner would always greet our kids with a big smile and a loud 'Ola!' every morning which was lovely. We even got a birthday cake this time around, as it was our son's 5th birthday during our stay. In the past we've gone over Easter and the kids have had little Easter baskets. Much appreciated.The breakfast is really well equipped with fresh fruit, juice, an omlette chef and everything else. The coffee isn't great, if I'm being harsh.We usually eat out in the resort, but when we do eat at the hotel the dinner is fabulous and the staff are so friendly. You are spoilt for choice in terms of good restaurants around here.This year was the first year where the pool was warm, in previous years it had't been heated and the water was super cold. It made a huge difference as we tend to visit in spring / early summer, we just didn't use the pool when the heating was broken. So it's nice to have a heated pool, but very annoying when you get there and find out the heating is broken. Hopefully it's all fixed now.The hotel and the resort is geared towards golfing (and tennis) possibly slightly more so than it is to families. So you tend to find a lot of golf tours in the morning at breakfast, and only a handful of families. But honestly I quite like this - it's nice going to a hotel that's not overrun with families (yes I know that we are one of those families, but you know what I mean) and there is still loads of things for kids our age (4-6) to do.Right next door is the Parc Tee where you have crazy golf, a play park, bouncy castles and football games. The resort's beach is a stone's throw away (our kids could easily spend all day there) and I already mentioned the heated pool. Everything we like doing is very close by... we didn't even get a hire car the first two times we went.Our kids LOVE going to kangaroo club - the kids club attached to the hotel that is free to guests. The lady that runs it is called Beatriz and the kids adore her. There are turtles (Nikita, Bing Bong), trampolines, bicycles, sand pits, football and lots of inside activities to give them some shade. If you want to you can lean over the side of the pool balcony to see what they're up to... or go and grab a cocktail and forget about them for a few hours - they're in very safe hands.Overall 5 stars from us - I think I'd like to see some investment in the rooms at some point to really justify the 5-star rating, but we've had some wonderful family memories here, and that's really all that matters.",Jul,2024,Jul 2024,2024-07-01,2024,4
